"tick","number_infected"
1.1,89
2.1,234
3.1,319
4.1,426
5.1,491
6.1,558
7.1,603
8.1,656
9.1,700
10.1,733
11.1,767
12.1,794
13.1,814
14.1,839
15.1,854
16.1,880
17.1,904
18.1,920
19.1,932
20.1,945
21.1,955
22.1,970
23.1,979
24.1,993
25.1,1002
26.1,1016
27.1,1021
28.1,1031
29.1,1045
30.1,1060
31.1,1067
32.1,1075
33.1,1081
34.1,1086
35.1,1089
36.1,1095
37.1,1099
38.1,1101
39.1,1108
40.1,1110
41.1,1114
42.1,1117
43.1,1122
44.1,1128
45.1,1130
46.1,1136
47.1,1141
48.1,1142
49.1,1145
50.1,1150
51.1,1153
52.1,1172
53.1,1203
54.1,1252
55.1,1322
56.1,1400
57.1,1493
58.1,1567
59.1,1654
60.1,1747
61.1,1831
62.1,1928
63.1,2028
64.1,2123
65.1,2196
66.1,2276
67.1,2346
68.1,2422
69.1,2502
70.1,2560
71.1,2638
72.1,2697
73.1,2761
74.1,2821
75.1,2870
76.1,2914
77.1,2955
78.1,3008
79.1,3053
80.1,3095
81.1,3135
82.1,3184
83.1,3222
84.1,3252
85.1,3282
86.1,3321
87.1,3358
88.1,3382
89.1,3426
90.1,3458
91.1,3490
92.1,3514
93.1,3532
94.1,3554
95.1,3575
96.1,3596
97.1,3614
98.1,3639
99.1,3655
