"tick","number_infected"
1.1,93
2.1,236
3.1,308
4.1,410
5.1,483
6.1,557
7.1,612
8.1,662
9.1,702
10.1,747
11.1,781
12.1,805
13.1,827
14.1,851
15.1,873
16.1,897
17.1,918
18.1,937
19.1,958
20.1,971
21.1,987
22.1,1004
23.1,1019
24.1,1036
25.1,1050
26.1,1064
27.1,1068
28.1,1086
29.1,1098
30.1,1112
31.1,1129
32.1,1138
33.1,1146
34.1,1154
35.1,1165
36.1,1172
37.1,1180
38.1,1187
39.1,1196
40.1,1208
41.1,1219
42.1,1224
43.1,1235
44.1,1242
45.1,1248
46.1,1252
47.1,1260
48.1,1266
49.1,1271
50.1,1276
51.1,1290
52.1,1316
53.1,1343
54.1,1387
55.1,1449
56.1,1518
57.1,1614
58.1,1697
59.1,1791
60.1,1882
61.1,1992
62.1,2087
63.1,2185
64.1,2286
65.1,2383
66.1,2458
67.1,2541
68.1,2616
69.1,2691
70.1,2754
71.1,2828
72.1,2915
73.1,2983
74.1,3036
75.1,3098
76.1,3163
77.1,3231
78.1,3284
79.1,3334
80.1,3392
81.1,3435
82.1,3487
83.1,3532
84.1,3583
85.1,3612
86.1,3662
87.1,3704
88.1,3746
89.1,3782
90.1,3821
91.1,3864
92.1,3917
93.1,3961
94.1,4003
95.1,4044
96.1,4079
97.1,4117
98.1,4142
99.1,4191
